Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose,University of Memphis,9,495,16712,9364,1770,2836,.451,.296,.822,33.8,18.9,3.6,5.7,34.2,.098,0.4,10.0
2,2,MIA,Michael Beasley,Kansas State University,10,583,13626,7387,2801,763,.464,.352,.760,23.4,12.7,4.8,1.3,15.3,.054,-3.2,-4.2
3,3,MIN,O.J. Mayo,University of Southern California,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.8,5.1
4,4,SEA,Russell Westbrook,University of California, Los Angeles,10,748,25700,17184,4953,6113,.435,.311,.814,34.4,23.0,6.6,8.2,90.1,.168,6.6,56.0
5,5,MEM,Kevin Love,University of California, Los Angeles,10,635,20425,11632,7158,1471,.444,.370,.824,32.2,18.3,11.3,2.3,76.9,.181,2.8,24.8
6,6,NYK,Danilo Gallinari,9,481,14993,7374,2252,940,.419,.367,.865,31.2,15.3,4.7,2.0,42.2,.135,1.0,11.2
7,7,LAC,Eric Gordon,Indiana University,10,561,18625,9394,1421,1713,.430,.376,.816,33.2,16.7,2.5,3.1,31.0,.080,-0.7,6.2
8,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.3,-0.2
9,9,CHA,D.J. Augustin,University of Texas at Austin,10,726,17150,6980,1318,2778,.407,.376,.863,23.6,9.6,1.8,3.8,35.0,.098,-1.6,1.6
10,10,NJN,Brook Lopez,Stanford University,10,636,19853,11405,4299,993,.502,.335,.789,31.2,17.9,6.8,1.6,53.4,.129,0.9,14.3
