Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,University of Oklahoma,8,529,18537,11359,4852,2288,.508,.324,.683,35.0,21.5,9.2,4.3,67.3,.174,4.0,28.0
2,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-1.4,0.4
3,3,OKC,James Harden,Arizona State University,9,687,23239,15809,3482,4157,.443,.364,.854,33.8,23.0,5.1,6.1,106.7,.220,6.5,50.0
4,4,SAC,Tyreke Evans,University of Memphis,9,525,16840,8641,2519,2686,.445,.318,.759,32.1,16.5,4.8,5.1,28.1,.080,1.1,13.2
5,5,MIN,Ricky Rubio,7,430,13471,4661,1849,3401,.385,.325,.836,31.3,10.8,4.3,7.9,28.5,.102,1.3,11.3
6,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.9,-2.7
7,7,GSW,Stephen Curry,Davidson College,9,625,21528,14434,2763,4227,.477,.436,.903,34.4,23.1,4.4,6.8,93.3,.208,6.5,46.2
8,8,NYK,Jordan Hill,University of Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,9,TOR,DeMar DeRozan,University of Southern California,9,675,22986,13296,2739,2078,.448,.289,.827,34.1,19.7,4.1,3.1,54.0,.113,-0.6,8.1
10,10,MIL,Brandon Jennings,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.4,10.4
