Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New York Knicks,52,30,.634,116.7,112.9,3.62
Philadelphia 76ers,46,36,.561,111.9,110.4,1.68
Boston Celtics,42,40,.512,109.2,108.1,1.26
Washington Bullets,40,42,.488,108.3,110.4,-1.77
New Jersey Nets,26,56,.317,103.7,110.1,-5.69
Charlotte Hornets,20,62,.244,104.5,113.0,-7.74

Detroit Pistons,63,19,.768,106.6,100.8,6.24
Cleveland Cavaliers,57,25,.695,108.8,101.2,7.95
Atlanta Hawks,52,30,.634,111.0,106.1,5.26
Milwaukee Bucks,49,33,.598,108.9,105.3,4.11
Chicago Bulls,47,35,.573,106.4,105.0,2.13
Indiana Pacers,28,54,.341,106.9,111.1,-3.00
