Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New Jersey Nets,49,33,.598,93.8,92.4,1.11
Philadelphia 76ers,38,44,.463,99.4,101.3,-2.10
Boston Celtics,33,49,.402,98.0,99.5,-1.59
Toronto Raptors,27,55,.329,101.1,104.0,-3.03
New York Knicks,23,59,.280,95.6,102.0,-6.30

Detroit Pistons,64,18,.780,96.8,90.2,6.24
Cleveland Cavaliers,50,32,.610,97.6,95.4,2.17
Indiana Pacers,41,41,.500,93.9,92.0,1.62
Chicago Bulls,41,41,.500,97.8,97.2,0.51
Milwaukee Bucks,40,42,.488,97.8,98.8,-1.07

Miami Heat,52,30,.634,99.9,96.0,3.59
Washington Wizards,42,40,.512,101.7,99.8,1.57
Orlando Magic,36,46,.439,94.9,96.0,-1.26
Charlotte Bobcats,26,56,.317,96.9,100.9,-3.90
Atlanta Hawks,26,56,.317,97.2,102.0,-4.69
