Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,62,20,.756,101.0,94.4,5.73
San Antonio Spurs,56,26,.683,92.5,88.5,3.30
Minnesota Timberwolves,45,37,.549,101.1,100.4,0.17
Houston Rockets,41,41,.500,98.8,99.5,-1.23
Dallas Mavericks,20,62,.244,91.4,97.5,-6.33
Vancouver Grizzlies,19,63,.232,96.6,103.9,-7.47
Denver Nuggets,11,71,.134,89.0,100.8,-11.74

Seattle SuperSonics,61,21,.744,100.6,93.4,6.33
Los Angeles Lakers,61,21,.744,105.5,97.8,6.88
Phoenix Suns,56,26,.683,99.6,94.4,4.44
Portland Trail Blazers,46,36,.561,94.3,92.9,0.83
Sacramento Kings,27,55,.329,93.1,98.7,-5.83
Golden State Warriors,19,63,.232,88.3,97.4,-9.20
Los Angeles Clippers,17,65,.207,95.9,103.3,-7.53
