Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIL,Andrew Bogut,University of Utah,13,694,19728,6769,6057,1535,.535,.120,.556,28.4,9.8,8.7,2.2,50.3,.122,2.3,21.6
2,2,ATL,Marvin Williams,University of North Carolina,13,939,26897,9866,4956,1221,.444,.361,.808,28.6,10.5,5.3,1.3,58.9,.105,-0.3,11.8
3,3,UTA,Deron Williams,University of Illinois at Urbana-Champaign,12,845,28865,13804,2619,6819,.445,.357,.822,34.2,16.3,3.1,8.1,77.3,.129,1.3,23.8
4,4,NOH,Chris Paul,Wake Forest University,13,892,31493,16691,3997,8708,.472,.372,.868,35.3,18.7,4.5,9.8,164.8,.251,7.5,75.9
5,5,CHA,Raymond Felton,University of North Carolina,13,938,28450,10711,2833,5044,.412,.329,.789,30.3,11.4,3.0,5.4,39.5,.067,-0.6,10.1
6,6,POR,Martell Webster,10,580,13914,5056,1811,588,.418,.382,.791,24.0,8.7,3.1,1.0,24.7,.085,-0.7,4.6
7,7,TOR,Charlie Villanueva,University of Connecticut,11,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-1.8,0.6
8,8,NYK,Channing Frye,University of Arizona,12,854,19431,7657,3950,844,.442,.387,.823,22.8,9.0,4.6,1.0,38.8,.096,-0.1,9.1
9,9,GSW,Ike Diogu,Arizona State University,6,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-4.8,-2.0
10,10,LAL,Andrew Bynum,8,418,10690,4822,3221,490,.556,.111,.690,25.6,11.5,7.7,1.2,37.4,.168,1.3,9.0
