Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Oklahoma City Thunder,59,23,.720,106.2,99.8,6.66
Portland Trail Blazers,54,28,.659,106.7,102.8,4.44
Minnesota Timberwolves,40,42,.488,106.9,104.3,3.10
Denver Nuggets,36,46,.439,104.4,106.5,-1.40
Utah Jazz,25,57,.305,95.0,102.2,-6.27

Los Angeles Clippers,57,25,.695,107.9,101.0,7.27
Golden State Warriors,51,31,.622,104.3,99.5,5.15
Phoenix Suns,48,34,.585,105.2,102.6,3.02
Sacramento Kings,28,54,.341,100.5,103.4,-2.08
Los Angeles Lakers,27,55,.329,103.0,109.2,-5.33

San Antonio Spurs,62,20,.756,105.4,97.6,8.00
Houston Rockets,54,28,.659,107.7,103.1,5.06
Memphis Grizzlies,50,32,.610,96.1,94.6,2.18
Dallas Mavericks,49,33,.598,104.8,102.4,2.91
New Orleans Pelicans,34,48,.415,99.7,102.4,-1.98
