Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,HOU,Ralph Sampson,University of Virginia,9,456,13591,7039,4011,1038,.486,.172,.661,29.8,15.4,8.8,2.3,20.1,.071,0.0,6.8
2,2,IND,Steve Stipanovich,University of Missouri,5,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116,1.1,9.9
3,3,HOU,Rodney McCray,University of Louisville,10,768,24876,9014,5087,2750,.503,.260,.761,32.4,11.7,6.6,3.6,56.0,.108,1.6,23.0
4,4,SDC,Byron Scott,Arizona State University,14,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120,0.4,18.6
5,5,CHI,Sidney Green,University of Nevada, Las Vegas,10,679,13247,5080,4128,635,.454,.037,.738,19.5,7.5,6.1,0.9,17.4,.063,-2.7,-2.5
6,6,GSW,Russell Cross,Purdue University,1,45,354,166,82,22,.571,,.418,7.9,3.7,1.8,0.5,0.8,.106,-1.8,0.0
7,7,UTA,Thurl Bailey,North Carolina State University,12,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087,-1.3,4.2
8,8,DET,Antoine Carr,Wichita State University,16,987,19780,9176,3384,1086,.503,.130,.780,20.0,9.3,3.4,1.1,42.1,.102,-0.6,7.0
9,9,DAL,Dale Ellis,University of Tennessee,17,1209,34778,19004,4201,1746,.479,.403,.784,28.8,15.7,3.5,1.4,84.7,.117,0.3,20.5
10,10,WSB,Jeff Malone,Mississippi State University,13,905,29660,17231,2364,2154,.484,.268,.871,32.8,19.0,2.6,2.4,54.2,.088,-2.1,-0.9
