Type,Name,Stat-Value
Minutes Played,Vin Baker, 3361
Field Goals,Shaquille O'Neal, 930
Field Goal Attempts,Shaquille O'Neal, 1594
2-Pt Field Goals,Shaquille O'Neal, 930
2-Pt Field Goal Attempts,Shaquille O'Neal, 1589
3-Pt Field Goals,John Starks, 217
3-Pt Field Goal Attempts,John Starks, 611
Field Goals Missed,Jamal Mashburn, 883
Free Throws,David Robinson, 656
Free Throw Attempts,Shaquille O'Neal, 854
Offensive Rebounds,Popeye Jones, 329
Defensive Rebounds,Karl Malone, 715
Total Rebounds,Dikembe Mutombo, 1029
Assists,John Stockton, 1011
Steals,Scottie Pippen, 232
Blocks,Dikembe Mutombo, 321
Turnovers,Glenn Robinson, 313
Personal Fouls,Shawn Bradley, 338
Points,Shaquille O'Neal, 2315
Field Goal Pct,Chris Gatling, .633
2-Pt Field Goal Pct,Chris Gatling, .634
3-Pt Field Goal Pct,Steve Kerr, .523
Free Throw Pct,Spud Webb, .934
Minutes Per Game,Vin Baker, 41.0
Points Per Game,Shaquille O'Neal, 29.3
Rebounds Per Game,Dennis Rodman, 16.8
Assists Per Game,John Stockton, 12.3
Steals Per Game,Scottie Pippen, 2.9
Blocks Per Game,Dikembe Mutombo, 3.9
Player Efficiency Rating,David Robinson, 29.1
True Shooting Pct,John Stockton, .651
Effective Field Goal Pct,Chris Gatling, .633
Offensive Rebound Pct,Dennis Rodman, 20.8
Defensive Rebound Pct,Dennis Rodman, 37.8
Total Rebound Pct,Dennis Rodman, 29.7
Assist Pct,John Stockton, 52.6
Steal Pct,Scottie Pippen, 4.0
Block Pct,Shawn Bradley, 8.5
Turnover Pct,Vinny Del Negro, 6.3
Usage Pct,Shaquille O'Neal, 31.9
Offensive Rating,Detlef Schrempf, 127.0
Defensive Rating,Scottie Pippen, 98.3
Offensive Win Shares,David Robinson, 10.7
Defensive Win Shares,David Robinson, 6.7
Win Shares,David Robinson, 17.5
Win Shares Per 48 Minutes,David Robinson, .273
Box Plus/Minus,David Robinson, 8.4
Offensive Box Plus/Minus,John Stockton, 6.2
Defensive Box Plus/Minus,Bo Outlaw, 4.8
Value Over Replacement Player,David Robinson, 8.1
