Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIL,Kent Benson,Indiana University,11,680,15719,6168,3881,1203,.493,.206,.757,23.1,9.1,5.7,1.8,33.6,.103,0.9,11.3
2,2,KCK,Otis Birdsong,University of Houston,12,696,21627,12544,2072,2260,.506,.274,.655,31.1,18.0,3.0,3.2,48.2,.107,0.3,12.4
3,3,MIL,Marques Johnson,University of California, Los Angeles,11,691,23694,13892,4817,2502,.518,.152,.739,34.3,20.1,7.0,3.6,79.8,.162,3.6,33.6
4,4,WSB,Greg Ballard,University of Oregon,11,802,22073,9953,4858,1733,.472,.338,.787,27.5,12.4,6.1,2.2,54.0,.117,1.5,19.3
5,5,PHO,Walter Davis,University of North Carolina,15,1033,28859,19521,3053,3878,.511,.272,.851,27.9,18.9,3.0,3.8,76.9,.128,0.6,19.0
6,6,LAL,Kenny Carr,North Carolina State University,10,674,17167,7813,4999,923,.510,.079,.684,25.5,11.6,7.4,1.4,33.6,.094,-1.1,4.0
7,7,NJN,Bernard King,University of Tennessee,14,874,29417,19655,5060,2863,.518,.172,.730,33.7,22.5,5.8,3.3,75.4,.123,1.7,27.5
8,8,SEA,Jack Sikma,Illinois Wesleyan University,14,1107,36943,17287,10816,3488,.464,.328,.849,33.4,15.6,9.8,3.2,112.5,.146,2.5,42.0
9,9,DEN,Tom LaGarde,University of North Carolina,6,312,6194,2376,1593,456,.462,.000,.640,19.9,7.6,5.1,1.5,6.5,.050,-2.4,-0.6
10,10,NYK,Ray Williams,University of Minnesota,10,655,18462,10158,2370,3779,.451,.237,.802,28.2,15.5,3.6,5.8,37.1,.096,1.7,17.4
