Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Miami Heat,61,21,.744,94.8,89.3,5.56
New York Knicks,57,25,.695,95.4,92.2,3.31
Orlando Magic,45,37,.549,94.1,94.5,-0.07
Washington Bullets,44,38,.537,99.4,97.7,1.77
New Jersey Nets,26,56,.317,97.2,101.8,-3.89
Philadelphia 76ers,22,60,.268,100.2,106.7,-5.89
Boston Celtics,15,67,.183,100.6,107.9,-6.62

Chicago Bulls,69,13,.841,103.1,92.3,10.70
Atlanta Hawks,56,26,.683,94.8,89.4,5.52
Detroit Pistons,54,28,.659,94.2,88.9,5.45
Charlotte Hornets,54,28,.659,98.9,97.0,2.13
Cleveland Cavaliers,42,40,.512,87.5,85.6,2.32
Indiana Pacers,39,43,.476,95.4,94.4,1.49
Milwaukee Bucks,33,49,.402,95.3,97.2,-1.38
Toronto Raptors,30,52,.366,95.5,98.6,-2.56
