Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,60,22,.732,95.8,90.4,5.65
Dallas Mavericks,60,22,.732,103.0,95.2,7.90
Minnesota Timberwolves,51,31,.622,98.1,96.0,2.46
Utah Jazz,47,35,.573,94.7,92.3,2.76
Houston Rockets,43,39,.524,93.8,92.3,1.89
Memphis Grizzlies,28,54,.341,97.5,100.7,-2.60
Denver Nuggets,17,65,.207,84.2,92.4,-7.41

Sacramento Kings,59,23,.720,101.7,95.2,6.68
Los Angeles Lakers,50,32,.610,100.4,98.0,2.71
Portland Trail Blazers,50,32,.610,95.2,92.5,2.97
Phoenix Suns,44,38,.537,95.5,94.4,1.57
Seattle SuperSonics,40,42,.488,92.1,92.3,0.37
Golden State Warriors,38,44,.463,102.4,103.6,-0.60
Los Angeles Clippers,27,55,.329,93.8,97.9,-3.45
