Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,62,20,.756,100.9,93.4,7.44
Philadelphia 76ers,41,41,.500,97.4,97.3,0.16
New Jersey Nets,34,48,.415,98.1,100.5,-2.31
Toronto Raptors,33,49,.402,99.0,101.9,-2.54
New York Knicks,32,50,.390,105.2,107.8,-2.33

Cleveland Cavaliers,66,16,.805,100.3,91.4,8.68
Chicago Bulls,41,41,.500,102.2,102.5,-0.16
Detroit Pistons,39,43,.476,94.2,94.7,-0.36
Indiana Pacers,36,46,.439,105.1,106.2,-0.76
Milwaukee Bucks,34,48,.415,99.3,100.4,-0.88

Orlando Magic,59,23,.720,101.0,94.4,6.48
Atlanta Hawks,47,35,.573,98.1,96.5,1.70
Miami Heat,43,39,.524,98.3,98.0,0.49
Charlotte Bobcats,35,47,.427,93.6,94.9,-1.20
Washington Wizards,19,63,.232,96.1,103.5,-6.98
