Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,University of Washington,1,14,253,100,43,53,.405,.000,.476,18.1,7.1,3.1,3.8,0.2,.043,-3.0,-0.1
2,2,LAL,Lonzo Ball,University of California, Los Angeles,1,52,1780,528,360,376,.360,.305,.451,34.2,10.2,6.9,7.2,2.0,.053,1.7,1.7
3,3,BOS,Jayson Tatum,Duke University,1,80,2438,1112,402,128,.475,.434,.826,30.5,13.9,5.0,1.6,7.1,.139,1.0,1.8
4,4,PHO,Josh Jackson,University of Kansas,1,77,1959,1012,351,119,.417,.263,.634,25.4,13.1,4.6,1.5,-0.7,-.018,-4.3,-1.1
5,5,SAC,De'Aaron Fox,University of Kentucky,1,73,2026,844,204,320,.412,.307,.723,27.8,11.6,2.8,4.4,-0.6,-.014,-4.4,-1.2
6,6,ORL,Jonathan Isaac,Florida State University,1,27,536,145,99,18,.379,.348,.760,19.9,5.4,3.7,0.7,0.2,.021,-1.8,0.0
7,7,MIN,Lauri Markkanen,University of Arizona,1,68,2020,1033,508,79,.434,.362,.843,29.7,15.2,7.5,1.2,3.3,.079,-1.9,0.1
8,8,NYK,Frank Ntilikina,1,78,1706,463,177,250,.364,.318,.721,21.9,5.9,2.3,3.2,-0.9,-.026,-3.9,-0.8
9,9,DAL,Dennis Smith,North Carolina State University,1,69,2049,1048,260,358,.395,.313,.694,29.7,15.2,3.8,5.2,-0.7,-.017,-2.3,-0.1
10,10,SAC,Zach Collins,Gonzaga University,1,66,1045,292,221,52,.398,.310,.643,15.8,4.4,3.3,0.8,0.6,.030,-3.2,-0.3
