Season,Lg,Champion,MVP,Rookie of the Year,Points,Rebounds,Assists,Win Shares
1967-68,NBA,Boston Celtics,W. Chamberlain,E. Monroe,D. Bing,W. Chamberlain,W. Chamberlain,W. Chamberlain
1967-68,ABA,Pittsburgh Pipers,C. Hawkins,M. Daniels,D. Moe,M. Daniels,L. Brown,C. Hawkins
1966-67,NBA,Philadelphia 76ers,W. Chamberlain,D. Bing,R. Barry,W. Chamberlain,G. Rodgers,W. Chamberlain
1965-66,NBA,Boston Celtics,W. Chamberlain,R. Barry,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1964-65,NBA,Boston Celtics,B. Russell,W. Reed,W. Chamberlain,B. Russell,O. Robertson,O. Robertson
1963-64,NBA,Boston Celtics,O. Robertson,J. Lucas,W. Chamberlain,B. Russell,O. Robertson,W. Chamberlain
1962-63,NBA,Boston Celtics,B. Russell,T. Dischinger,W. Chamberlain,W. Chamberlain,G. Rodgers,W. Chamberlain
1961-62,NBA,Boston Celtics,B. Russell,W. Bellamy,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1960-61,NBA,Boston Celtics,B. Russell,O. Robertson,W. Chamberlain,W. Chamberlain,O. Robertson,W. Chamberlain
1959-60,NBA,Boston Celtics,W. Chamberlain,W. Chamberlain,W. Chamberlain,W. Chamberlain,B. Cousy,W. Chamberlain
1958-59,NBA,Boston Celtics,B. Pettit,E. Baylor,B. Pettit,B. Russell,B. Cousy,B. Pettit
1957-58,NBA,St. Louis Hawks,B. Russell,W. Sauldsberry,G. Yardley,B. Russell,B. Cousy,D. Schayes
1956-57,NBA,Boston Celtics,B. Cousy,T. Heinsohn,P. Arizin,M. Stokes,B. Cousy,N. Johnston
1955-56,NBA,Philadelphia Warriors,B. Pettit,M. Stokes,B. Pettit,B. Pettit,B. Cousy,N. Johnston
1954-55,NBA,Syracuse Nationals,None,B. Pettit,N. Johnston,N. Johnston,B. Cousy,N. Johnston
1953-54,NBA,Minneapolis Lakers,None,R. Felix,N. Johnston,H. Gallatin,B. Cousy,N. Johnston
1952-53,NBA,Minneapolis Lakers,None,M. Meineke,N. Johnston,G. Mikan,B. Cousy,N. Johnston
1951-52,NBA,Minneapolis Lakers,None,None,P. Arizin,L. Foust,A. Phillip,P. Arizin
1950-51,NBA,Rochester Royals,None,None,G. Mikan,D. Schayes,A. Phillip,G. Mikan
1949-50,NBA,Minneapolis Lakers,None,None,G. Mikan,None,D. McGuire,G. Mikan
1948-49,BAA,Minneapolis Lakers,None,None,G. Mikan,None,B. Davies,G. Mikan
1947-48,BAA,Baltimore Bullets,None,None,M. Zaslofsky,None,H. Dallmar,B. Feerick
1946-47,BAA,Philadelphia Warriors,None,None,J. Fulks,None,E. Calverley,B. Feerick
