Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Toronto Raptors,49,33,.598,104.0,100.9,2.45
Boston Celtics,40,42,.488,101.4,101.2,-0.40
Brooklyn Nets,38,44,.463,98.0,100.9,-3.13
Philadelphia 76ers,18,64,.220,92.0,101.0,-9.04
New York Knicks,17,65,.207,91.9,101.2,-9.50

Cleveland Cavaliers,53,29,.646,103.1,98.7,4.08
Chicago Bulls,50,32,.610,100.8,97.8,2.54
Milwaukee Bucks,41,41,.500,97.8,97.4,-0.09
Indiana Pacers,38,44,.463,97.3,97.0,-0.23
Detroit Pistons,32,50,.390,98.5,99.5,-1.39

Atlanta Hawks,60,22,.732,102.5,97.1,4.75
Washington Wizards,46,36,.561,98.5,97.8,0.17
Miami Heat,37,45,.451,94.7,97.3,-2.92
Charlotte Hornets,33,49,.402,94.2,97.3,-3.44
Orlando Magic,25,57,.305,95.7,101.4,-5.87
