Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Philadelphia 76ers,56,26,.683,94.7,90.4,3.64
Miami Heat,50,32,.610,88.9,86.6,1.73
New York Knicks,48,34,.585,88.7,86.1,1.98
Orlando Magic,43,39,.524,97.5,96.5,0.39
Boston Celtics,36,46,.439,94.6,96.8,-2.40
New Jersey Nets,26,56,.317,92.1,97.1,-5.30
Washington Wizards,19,63,.232,93.2,99.9,-6.75

Milwaukee Bucks,52,30,.634,100.7,96.9,3.14
Toronto Raptors,47,35,.573,97.6,95.4,1.69
Charlotte Hornets,46,36,.561,91.9,89.8,1.45
Indiana Pacers,41,41,.500,92.6,92.8,-0.77
Detroit Pistons,32,50,.390,95.6,97.3,-2.08
Cleveland Cavaliers,30,52,.366,92.2,96.5,-4.48
Atlanta Hawks,25,57,.305,91.0,96.2,-5.55
Chicago Bulls,15,67,.183,87.6,96.7,-9.09
