Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Denver Nuggets,44,38,.537,100.3,100.1,0.36
Utah Jazz,41,41,.500,92.4,95.0,-2.49
Seattle SuperSonics,35,47,.427,102.6,105.6,-2.88
Minnesota Timberwolves,33,49,.402,91.7,93.6,-1.75
Portland Trail Blazers,21,61,.256,88.8,98.3,-8.91

Phoenix Suns,54,28,.659,108.4,102.8,5.48
Los Angeles Clippers,47,35,.573,97.2,95.6,1.75
Los Angeles Lakers,45,37,.549,99.4,96.9,2.53
Sacramento Kings,44,38,.537,98.9,97.3,1.61
Golden State Warriors,34,48,.415,98.5,99.8,-1.11

San Antonio Spurs,63,19,.768,95.6,88.8,6.69
Dallas Mavericks,60,22,.732,99.1,93.1,5.96
Memphis Grizzlies,49,33,.598,92.2,88.5,3.74
New Orleans/Oklahoma City Hornets,38,44,.463,92.8,95.6,-2.51
Houston Rockets,34,48,.415,90.1,91.7,-1.30
