Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,55,27,.671,96.5,92.0,4.52
San Antonio Spurs,53,29,.646,96.2,90.2,5.92
Minnesota Timberwolves,50,32,.610,98.5,96.0,2.67
Dallas Mavericks,40,42,.488,101.4,102.0,-0.29
Denver Nuggets,35,47,.427,99.0,101.1,-1.76
Houston Rockets,34,48,.415,99.5,100.3,-0.57
Vancouver Grizzlies,22,60,.268,93.9,99.5,-5.10

Los Angeles Lakers,67,15,.817,100.8,92.3,8.41
Portland Trail Blazers,59,23,.720,97.5,91.0,6.36
Phoenix Suns,53,29,.646,98.9,93.7,5.24
Seattle SuperSonics,45,37,.549,99.1,98.1,1.17
Sacramento Kings,44,38,.537,105.0,102.0,3.04
Golden State Warriors,19,63,.232,95.5,103.8,-7.63
Los Angeles Clippers,15,67,.183,92.0,103.5,-10.73
