Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Denver Nuggets,53,29,.646,106.5,102.4,4.15
Utah Jazz,53,29,.646,104.2,98.9,5.33
Portland Trail Blazers,50,32,.610,98.1,94.8,3.18
Oklahoma City Thunder,50,32,.610,101.5,98.0,3.55
Minnesota Timberwolves,15,67,.183,98.2,107.8,-9.06

Los Angeles Lakers,57,25,.695,101.7,97.0,4.78
Phoenix Suns,54,28,.659,110.2,105.3,4.67
Los Angeles Clippers,29,53,.354,95.7,102.1,-6.01
Golden State Warriors,26,56,.317,108.8,112.4,-3.28
Sacramento Kings,25,57,.305,100.0,104.4,-4.06

Dallas Mavericks,55,27,.671,102.0,99.3,2.66
San Antonio Spurs,50,32,.610,101.4,96.3,5.07
Houston Rockets,42,40,.512,102.4,102.7,-0.02
Memphis Grizzlies,40,42,.488,102.5,104.0,-1.39
New Orleans Hornets,37,45,.451,100.2,102.7,-2.27
