Type,Name,Stat-Value
Minutes Played,John Havlicek, 3678
Field Goals,Kareem Abdul-Jabbar, 1063
Field Goal Attempts,Elvin Hayes, 2215
2-Pt Field Goals,Kareem Abdul-Jabbar, 1063
2-Pt Field Goal Attempts,Elvin Hayes, 2215
Field Goals Missed,Elvin Hayes, 1267
Free Throws,Dave Bing, 615
Free Throw Attempts,Dave Bing, 772
Total Rebounds,Wilt Chamberlain, 1493
Assists,Norm Van Lier, 832
Personal Fouls,Dave Cowens, 350
Points,Kareem Abdul-Jabbar, 2596
Field Goal Pct,Johnny Green, .587
2-Pt Field Goal Pct,Johnny Green, .587
Free Throw Pct,Chet Walker, .859
Minutes Per Game,John Havlicek, 45.4
Points Per Game,Kareem Abdul-Jabbar, 31.7
Rebounds Per Game,Wilt Chamberlain, 18.2
Assists Per Game,Norm Van Lier, 10.1
Player Efficiency Rating,Kareem Abdul-Jabbar, 29.0
True Shooting Pct,Johnny Green, .607
Effective Field Goal Pct,Johnny Green, .587
Total Rebound Pct,Tom Boerwinkle, 22.6
Assist Pct,Lenny Wilkens, 33.0
Offensive Win Shares,Kareem Abdul-Jabbar, 17.0
Defensive Win Shares,Elvin Hayes, 7.1
Win Shares,Kareem Abdul-Jabbar, 22.3
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .326
