Type,Name,Stat-Value
Minutes Played,Michael Jordan, 3311
Field Goals,Michael Jordan, 1069
Field Goal Attempts,Michael Jordan, 1998
2-Pt Field Goals,Michael Jordan, 1062
2-Pt Field Goal Attempts,Michael Jordan, 1945
3-Pt Field Goals,Danny Ainge, 148
3-Pt Field Goal Attempts,Michael Adams, 379
Field Goals Missed,Dominique Wilkins, 1048
Free Throws,Michael Jordan, 723
Free Throw Attempts,Charles Barkley, 951
Offensive Rebounds,Charles Barkley, 385
Defensive Rebounds,Charles Oakley, 740
Total Rebounds,Charles Oakley, 1066
Assists,John Stockton, 1128
Steals,Michael Jordan, 259
Blocks,Mark Eaton, 304
Turnovers,Karl Malone, 325
Personal Fouls,Patrick Ewing, 332
Points,Michael Jordan, 2868
Field Goal Pct,Kevin McHale, .604
2-Pt Field Goal Pct,Charles Barkley, .630
3-Pt Field Goal Pct,Craig Hodges, .491
Free Throw Pct,Jack Sikma, .922
Minutes Per Game,Michael Jordan, 40.4
Points Per Game,Michael Jordan, 35.0
Rebounds Per Game,Michael Cage, 13.0
Assists Per Game,John Stockton, 13.8
Steals Per Game,Michael Jordan, 3.2
Blocks Per Game,Mark Eaton, 3.7
Player Efficiency Rating,Michael Jordan, 31.7
True Shooting Pct,Charles Barkley, .665
Effective Field Goal Pct,Charles Barkley, .604
Offensive Rebound Pct,Roy Tarpley, 17.3
Defensive Rebound Pct,Charles Oakley, 30.0
Total Rebound Pct,Roy Tarpley, 22.6
Assist Pct,John Stockton, 54.8
Steal Pct,John Stockton, 4.0
Block Pct,Mark Eaton, 6.4
Turnover Pct,Mike Mitchell, 5.6
Usage Pct,Dominique Wilkins, 35.2
Offensive Rating,Kevin McHale, 126.1
Defensive Rating,Hakeem Olajuwon, 98.0
Offensive Win Shares,Michael Jordan, 15.2
Defensive Win Shares,Hakeem Olajuwon, 6.3
Win Shares,Michael Jordan, 21.2
Win Shares Per 48 Minutes,Michael Jordan, .308
Box Plus/Minus,Michael Jordan, 12.2
Offensive Box Plus/Minus,Michael Jordan, 9.8
Defensive Box Plus/Minus,Mark Eaton, 5.0
Value Over Replacement Player,Michael Jordan, 11.8
