Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Denver Nuggets,52,30,.634,120.0,117.6,2.05
Houston Rockets,48,34,.585,111.2,109.5,1.38
Dallas Mavericks,44,38,.537,111.2,109.0,1.80
Utah Jazz,41,41,.500,109.0,109.1,-0.33
San Antonio Spurs,41,41,.500,114.8,113.9,0.63
Kansas City Kings,31,51,.378,114.8,117.5,-2.71

Los Angeles Lakers,62,20,.756,118.2,110.9,6.48
Portland Trail Blazers,42,40,.512,115.5,112.1,2.80
Phoenix Suns,36,46,.439,108.0,110.1,-2.34
Seattle SuperSonics,31,51,.378,102.1,107.6,-5.44
Los Angeles Clippers,31,51,.378,107.1,111.6,-4.55
Golden State Warriors,22,60,.268,110.4,117.7,-7.21
