Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,45,37,.549,101.3,100.4,0.35
Philadelphia 76ers,43,39,.524,99.1,99.9,-1.07
New Jersey Nets,42,40,.512,91.4,92.9,-1.82
Toronto Raptors,33,49,.402,99.7,101.4,-1.81
New York Knicks,33,49,.402,97.3,99.7,-2.72

Detroit Pistons,54,28,.659,93.3,89.5,3.31
Chicago Bulls,47,35,.573,94.5,93.4,0.65
Indiana Pacers,44,38,.537,93.0,92.2,0.49
Cleveland Cavaliers,42,40,.512,96.5,95.7,0.27
Milwaukee Bucks,30,52,.366,97.2,100.2,-3.09

Miami Heat,59,23,.720,101.5,95.0,5.77
Washington Wizards,45,37,.549,100.5,100.8,-0.71
Orlando Magic,36,46,.439,99.5,101.8,-2.52
Charlotte Bobcats,18,64,.220,94.3,100.2,-6.15
Atlanta Hawks,13,69,.159,92.7,102.5,-9.62
