Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New Jersey Nets,49,33,.598,95.4,90.1,4.42
Philadelphia 76ers,48,34,.585,96.8,94.5,1.76
Boston Celtics,44,38,.537,92.7,93.1,-0.75
Orlando Magic,42,40,.512,98.5,98.4,-0.39
Washington Wizards,37,45,.451,91.5,92.5,-1.47
New York Knicks,37,45,.451,95.9,97.2,-1.61
Miami Heat,25,57,.305,85.6,90.6,-5.13

Detroit Pistons,50,32,.610,91.4,87.7,2.97
Indiana Pacers,48,34,.585,96.8,93.3,2.79
New Orleans Hornets,47,35,.573,93.9,91.8,1.52
Milwaukee Bucks,42,40,.512,99.5,99.3,-0.24
Atlanta Hawks,35,47,.427,94.1,97.6,-3.87
Chicago Bulls,30,52,.366,95.0,100.1,-5.31
Toronto Raptors,24,58,.293,90.9,96.8,-6.10
Cleveland Cavaliers,17,65,.207,91.4,101.0,-9.59
