Type,Name,Stat-Value
Minutes Played,Michael Finley, 3443
Field Goals,Shaquille O'Neal, 813
Field Goal Attempts,Jerry Stackhouse, 1927
2-Pt Field Goals,Shaquille O'Neal, 813
2-Pt Field Goal Attempts,Antawn Jamison, 1607
3-Pt Field Goals,Antoine Walker, 221
3-Pt Field Goal Attempts,Antoine Walker, 603
Field Goals Missed,Jerry Stackhouse, 1153
Free Throws,Jerry Stackhouse, 666
Free Throw Attempts,Shaquille O'Neal, 972
Offensive Rebounds,Dikembe Mutombo, 307
Defensive Rebounds,Ben Wallace, 749
Total Rebounds,Ben Wallace, 1052
Assists,Jason Kidd, 753
Steals,Doug Christie, 183
Blocks,Shawn Bradley, 228
Turnovers,Jerry Stackhouse, 326
Personal Fouls,Aaron Williams, 319
Points,Jerry Stackhouse, 2380
Field Goal Pct,Shaquille O'Neal, .572
2-Pt Field Goal Pct,Shaquille O'Neal, .573
3-Pt Field Goal Pct,Brent Barry, .476
Free Throw Pct,Reggie Miller, .928
Minutes Per Game,Michael Finley, 42.0
Points Per Game,Allen Iverson, 31.1
Rebounds Per Game,Dikembe Mutombo, 13.5
Assists Per Game,Jason Kidd, 9.8
Steals Per Game,Allen Iverson, 2.5
Blocks Per Game,Theo Ratliff, 3.7
Player Efficiency Rating,Shaquille O'Neal, 30.2
True Shooting Pct,John Stockton, .610
Effective Field Goal Pct,Shaquille O'Neal, .572
Offensive Rebound Pct,Dikembe Mutombo, 13.3
Defensive Rebound Pct,Dikembe Mutombo, 30.5
Total Rebound Pct,Dikembe Mutombo, 21.9
Assist Pct,John Stockton, 48.7
Steal Pct,Mookie Blaylock, 3.5
Block Pct,Shawn Bradley, 8.1
Turnover Pct,Horace Grant, 6.9
Usage Pct,Allen Iverson, 35.9
Offensive Rating,John Stockton, 120.1
Defensive Rating,Marcus Camby, 90.6
Offensive Win Shares,Ray Allen, 11.5
Defensive Win Shares,Tim Duncan, 7.1
Win Shares,Shaquille O'Neal, 14.9
Win Shares Per 48 Minutes,David Robinson, .246
Box Plus/Minus,Shaquille O'Neal, 7.3
Offensive Box Plus/Minus,Vince Carter, 7.7
Defensive Box Plus/Minus,Ben Wallace, 5.7
Value Over Replacement Player,Steve Francis, 7.0
