Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,HOU,Hakeem Olajuwon,University of Houston,18,1238,44222,26946,13748,3058,.512,.202,.712,35.7,21.8,11.1,2.5,162.8,.177,4.9,77.1
2,2,POR,Sam Bowie,University of Kentucky,10,511,14098,5564,3845,1075,.452,.302,.748,27.6,10.9,7.5,2.1,26.9,.091,0.0,7.2
3,3,CHI,Michael Jordan,University of North Carolina,15,1072,41011,32292,6672,5633,.497,.327,.835,38.3,30.1,6.2,5.3,214.0,.250,8.1,104.4
4,4,DAL,Sam Perkins,University of North Carolina,17,1286,36598,15324,7666,1975,.459,.362,.811,28.5,11.9,6.0,1.5,105.4,.138,1.4,31.4
5,5,PHI,Charles Barkley,Auburn University,16,1073,39330,23757,12546,4215,.541,.266,.735,36.7,22.1,11.7,3.9,177.2,.216,7.4,93.5
6,6,WSB,Melvin Turpin,University of Kentucky,5,361,6871,3071,1655,183,.516,.111,.777,19.0,8.5,4.6,0.5,13.7,.096,-1.4,1.0
7,7,SAS,Alvin Robertson,University of Arkansas,10,779,24669,10882,4066,3929,.477,.295,.743,31.7,14.0,5.2,5.0,52.1,.101,4.0,37.3
8,8,LAC,Lancaster Gordon,University of Louisville,4,201,2581,1125,259,294,.391,.271,.767,12.8,5.6,1.3,1.5,-2.7,-.050,-5.8,-2.5
9,9,KCK,Otis Thorpe,Providence College,17,1257,39822,17600,10370,2730,.546,.047,.687,31.7,14.0,8.2,2.2,106.4,.128,1.2,32.2
10,10,PHI,Leon Wood,California State University, Fullerton,6,274,4531,1742,316,867,.392,.326,.792,16.5,6.4,1.2,3.2,6.7,.071,-3.3,-1.5
