Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,53,29,.646,114.3,110.7,3.10
Denver Nuggets,45,37,.549,123.2,122.6,0.27
Kansas City Kings,45,37,.549,113.8,112.3,1.04
Dallas Mavericks,38,44,.463,112.7,113.1,-0.70
Utah Jazz,30,52,.366,109.0,113.2,-4.22
Houston Rockets,14,68,.171,99.3,110.9,-11.12

Los Angeles Lakers,58,24,.707,115.0,109.5,5.06
Phoenix Suns,53,29,.646,107.0,102.0,4.61
Seattle SuperSonics,48,34,.585,110.0,106.8,2.88
Portland Trail Blazers,46,36,.561,107.4,105.3,1.88
Golden State Warriors,30,52,.366,108.6,112.3,-3.48
San Diego Clippers,25,57,.305,108.6,113.4,-4.61
