Type,Name,Stat-Value
Minutes Played,Glen Rice, 3362
Field Goals,Michael Jordan, 920
Field Goal Attempts,Michael Jordan, 1892
2-Pt Field Goals,Karl Malone, 864
2-Pt Field Goal Attempts,Michael Jordan, 1595
3-Pt Field Goals,Reggie Miller, 229
3-Pt Field Goal Attempts,Mookie Blaylock, 604
Field Goals Missed,Michael Jordan, 972
Free Throws,Karl Malone, 521
Free Throw Attempts,Karl Malone, 690
Offensive Rebounds,Dennis Rodman, 320
Defensive Rebounds,Ervin Johnson, 682
Total Rebounds,Dikembe Mutombo, 929
Assists,Mark Jackson, 935
Steals,Mookie Blaylock, 212
Blocks,Dikembe Mutombo, 264
Turnovers,Allen Iverson, 337
Personal Fouls,Shawn Kemp, 320
Points,Michael Jordan, 2431
Field Goal Pct,Gheorghe Muresan, .604
2-Pt Field Goal Pct,Gheorghe Muresan, .604
3-Pt Field Goal Pct,Glen Rice, .470
Free Throw Pct,Mark Price, .906
Minutes Per Game,Anthony Mason, 43.1
Points Per Game,Michael Jordan, 29.6
Rebounds Per Game,Dennis Rodman, 16.1
Assists Per Game,Mark Jackson, 11.4
Steals Per Game,Mookie Blaylock, 2.7
Blocks Per Game,Shawn Bradley, 3.4
Player Efficiency Rating,Karl Malone, 28.9
True Shooting Pct,Mario Elie, .662
Effective Field Goal Pct,Chris Mullin, .605
Offensive Rebound Pct,Dennis Rodman, 18.9
Defensive Rebound Pct,Dennis Rodman, 32.2
Total Rebound Pct,Dennis Rodman, 25.6
Assist Pct,Mark Jackson, 48.2
Steal Pct,Mookie Blaylock, 3.8
Block Pct,Shawn Bradley, 8.3
Turnover Pct,Dean Garrett, 7.0
Usage Pct,Michael Jordan, 33.2
Offensive Rating,Mario Elie, 125.3
Defensive Rating,Alonzo Mourning, 95.3
Offensive Win Shares,Michael Jordan, 13.3
Defensive Win Shares,Patrick Ewing, 6.9
Win Shares,Michael Jordan, 18.3
Win Shares Per 48 Minutes,Michael Jordan, .283
Box Plus/Minus,Karl Malone, 8.5
Offensive Box Plus/Minus,Michael Jordan, 6.5
Defensive Box Plus/Minus,Dikembe Mutombo, 4.5
Value Over Replacement Player,Grant Hill, 7.9
