Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Dwight Howard,14,1035,35754,17999,13101,1531,.583,.095,.566,34.5,17.4,12.7,1.5,128.3,.172,2.4,40.0
2,2,CHA,Emeka Okafor,University of Connecticut,10,616,19055,7370,5967,520,.512,.000,.586,30.9,12.0,9.7,0.8,45.3,.114,-0.4,7.6
3,3,CHI,Ben Gordon,University of Connecticut,11,744,20366,11084,1851,1868,.432,.401,.857,27.4,14.9,2.5,2.5,33.3,.078,-1.1,4.7
4,4,LAC,Shaun Livingston,13,769,16221,4973,1872,2369,.485,.183,.794,21.1,6.5,2.4,3.1,27.9,.083,-1.7,1.4
5,5,WAS,Devin Harris,University of Wisconsin,14,917,22892,10169,2039,3747,.434,.327,.798,25.0,11.1,2.2,4.1,53.4,.112,0.4,13.7
6,6,ATL,Josh Childress,Stanford University,8,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118,1.3,8.6
7,7,PHO,Luol Deng,Duke University,14,880,30549,13204,5395,2024,.455,.332,.770,34.7,15.0,6.1,2.3,73.2,.115,0.9,22.5
8,8,TOR,Rafael Araujo,Brigham Young University,3,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-.013,-6.4,-1.8
9,9,PHI,Andre Iguodala,University of Arizona,14,1040,35456,13067,5379,4605,.465,.333,.713,34.1,12.6,5.2,4.4,92.1,.125,2.9,43.9
10,10,CLE,Luke Jackson,University of Oregon,4,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010,-4.4,-0.4
