Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall,University of Kentucky,8,541,19441,10216,2367,5003,.432,.327,.786,35.9,18.9,4.4,9.2,43.2,.107,2.4,21.6
2,2,PHI,Evan Turner,Ohio State University,8,613,17082,6268,2912,2141,.433,.301,.788,27.9,10.2,4.8,3.5,18.5,.052,-2.0,0.0
3,3,NJN,Derrick Favors,Georgia Institute of Technology,8,556,14501,6423,3987,612,.517,.202,.663,26.1,11.6,7.2,1.1,41.5,.138,1.1,11.2
4,4,MIN,Wesley Johnson,Syracuse University,8,571,12938,4107,1852,622,.406,.337,.743,22.7,7.2,3.2,1.1,10.7,.040,-1.0,3.2
5,5,SAC,DeMarcus Cousins,University of Kentucky,8,535,17307,11518,5884,1725,.460,.338,.737,32.3,21.5,11.0,3.2,41.6,.115,2.9,21.4
6,6,GSW,Ekpe Udoh,Baylor University,6,333,5374,1234,1010,232,.437,.000,.724,16.1,3.7,3.0,0.7,8.9,.079,-0.1,2.6
7,7,DET,Greg Monroe,Georgetown University,8,589,16995,8096,5057,1330,.515,.000,.707,28.9,13.7,8.6,2.3,48.6,.137,2.0,17.3
8,8,LAC,Al-Farouq Aminu,Wake Forest University,8,589,14592,4410,3473,723,.421,.336,.726,24.8,7.5,5.9,1.2,21.6,.071,-0.1,6.9
9,9,UTA,Gordon Hayward,Butler University,8,517,16169,8079,2150,1762,.444,.368,.820,31.3,15.6,4.2,3.4,43.0,.128,2.0,16.3
10,10,IND,Paul George,California State University, Fresno,8,527,17583,9824,3263,1682,.432,.376,.844,33.4,18.6,6.2,3.2,53.4,.146,3.6,24.6
