Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Orlando Magic,60,22,.732,104.5,99.0,5.40
New York Knicks,47,35,.573,97.2,94.9,2.24
Miami Heat,42,40,.512,96.5,95.0,1.46
Washington Bullets,39,43,.476,102.5,101.5,0.99
Boston Celtics,33,49,.402,103.6,107.0,-3.37
New Jersey Nets,30,52,.366,93.7,97.9,-4.14
Philadelphia 76ers,18,64,.220,94.5,104.5,-9.45

Chicago Bulls,72,10,.878,105.2,92.9,11.80
Indiana Pacers,52,30,.634,99.3,96.1,3.11
Cleveland Cavaliers,47,35,.573,91.1,88.5,2.49
Atlanta Hawks,46,36,.561,98.3,97.1,1.29
Detroit Pistons,46,36,.561,95.4,92.9,2.45
Charlotte Hornets,41,41,.500,102.8,103.4,-0.48
Milwaukee Bucks,25,57,.305,95.6,100.9,-4.92
Toronto Raptors,21,61,.256,97.5,105.0,-7.20
