Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Miami Heat,33,17,.660,89.0,84.0,5.11
Orlando Magic,33,17,.660,89.5,86.9,3.11
Philadelphia 76ers,28,22,.560,89.7,87.6,2.56
New York Knicks,27,23,.540,86.4,85.4,1.45
Boston Celtics,19,31,.380,93.0,94.9,-1.75
Washington Wizards,18,32,.360,91.2,93.4,-1.75
New Jersey Nets,16,34,.320,91.4,95.2,-3.20

Indiana Pacers,33,17,.660,94.7,90.9,3.86
Atlanta Hawks,31,19,.620,86.3,83.4,2.82
Detroit Pistons,29,21,.580,90.4,86.9,3.97
Milwaukee Bucks,28,22,.560,91.7,90.0,1.66
Charlotte Hornets,26,24,.520,92.9,93.0,0.63
Toronto Raptors,23,27,.460,91.1,92.8,-1.32
Cleveland Cavaliers,22,28,.440,86.4,88.2,-0.94
Chicago Bulls,13,37,.260,81.9,91.4,-8.58
