Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Oklahoma City Thunder,47,19,.712,103.1,96.9,6.44
Denver Nuggets,38,28,.576,104.1,101.2,3.16
Utah Jazz,36,30,.545,99.7,99.0,0.92
Portland Trail Blazers,28,38,.424,97.2,97.8,-0.22
Minnesota Timberwolves,26,40,.394,97.9,100.1,-1.83

Los Angeles Lakers,41,25,.621,97.3,95.9,1.96
Los Angeles Clippers,40,26,.606,97.5,95.0,2.82
Phoenix Suns,33,33,.500,98.4,98.6,0.29
Golden State Warriors,23,43,.348,97.8,101.2,-2.79
Sacramento Kings,22,44,.333,98.8,104.4,-4.95

San Antonio Spurs,50,16,.758,103.7,96.5,7.28
Memphis Grizzlies,41,25,.621,95.0,93.0,2.43
Dallas Mavericks,36,30,.545,95.8,94.8,1.78
Houston Rockets,34,32,.515,98.1,97.9,0.57
New Orleans Hornets,21,45,.318,89.6,93.4,-3.11
