Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Dallas Mavericks,55,27,.671,116.7,110.4,5.54
Utah Jazz,44,38,.537,107.9,107.5,0.04
Houston Rockets,42,40,.512,106.9,105.9,0.60
Denver Nuggets,37,45,.451,116.7,117.6,-1.14
Sacramento Kings,29,53,.354,110.9,114.1,-3.34
San Antonio Spurs,28,54,.341,108.3,113.4,-5.09

Los Angeles Lakers,65,17,.793,117.8,108.5,8.32
Portland Trail Blazers,49,33,.598,117.9,114.8,2.57
Golden State Warriors,42,40,.512,112.0,114.4,-2.54
Seattle SuperSonics,39,43,.476,113.7,113.3,0.08
Phoenix Suns,36,46,.439,111.1,113.5,-2.63
Los Angeles Clippers,12,70,.146,104.5,115.9,-11.00
