Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,61,21,.744,113.5,105.7,7.37
Philadelphia 76ers,59,23,.720,109.1,104.9,4.04
Washington Bullets,39,43,.476,107.0,109.5,-2.27
New York Knicks,39,43,.476,114.0,115.1,-0.96
New Jersey Nets,34,48,.415,108.3,109.5,-0.98

Atlanta Hawks,50,32,.610,104.5,101.6,2.83
Houston Rockets,41,41,.500,110.8,110.6,0.27
San Antonio Spurs,41,41,.500,119.4,119.7,-0.24
Indiana Pacers,37,45,.451,111.2,111.9,-0.54
Cleveland Cavaliers,37,45,.451,114.1,113.8,0.43
Detroit Pistons,16,66,.195,108.9,117.2,-7.57
