Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ATL,David Thompson,North Carolina State University,8,509,16305,11264,1921,1631,.504,.277,.778,32.0,22.1,3.8,3.2,50.8,.150,1.1,12.7
2,2,LAL,Dave Meyers,University of California, Los Angeles,4,281,7471,3149,1771,652,.461,.200,.676,26.6,11.2,6.3,2.3,13.4,.086,-0.3,3.1
3,3,ATL,Marvin Webster,Morgan State University,9,579,12966,4137,4044,722,.489,.333,.617,22.4,7.1,7.0,1.2,28.1,.104,0.6,8.6
4,4,PHO,Alvan Adams,University of Oklahoma,13,988,27203,13910,6937,4012,.498,.133,.788,27.5,14.1,7.0,4.1,73.5,.130,3.7,39.3
5,5,PHI,Darryl Dawkins,14,726,17235,8733,4432,917,.572,.133,.685,23.7,12.0,6.1,1.3,46.4,.129,0.4,10.3
6,6,POR,Lionel Hollins,Arizona State University,10,673,18453,7809,1601,3006,.444,.149,.741,27.4,11.6,2.4,4.5,22.9,.059,-1.5,2.3
7,7,NOJ,Rich Kelley,Stanford University,11,814,17711,6199,5678,2092,.488,.000,.783,21.8,7.6,7.0,2.6,42.5,.115,2.4,19.8
8,8,LAL,Junior Bridgeman,University of Louisville,12,849,21257,11517,2995,2066,.475,.244,.846,25.0,13.6,3.5,2.4,45.0,.102,-1.0,5.4
9,9,NYK,Gene Short,Jackson State University,1,34,222,84,48,10,.352,,.625,6.5,2.5,1.4,0.3,-0.1,-.025,-6.6,-0.3
10,10,KCK,Bill Robinzine,DePaul University,7,529,11432,5541,3209,560,.482,.250,.749,21.6,10.5,6.1,1.1,23.3,.098,-0.9,3.2
