Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,University of Kansas,4,327,11841,6447,1351,683,.447,.330,.741,36.2,19.7,4.1,2.1,12.4,.050,-2.4,-1.2
2,2,MIL,Jabari Parker,Duke University,4,183,5617,2794,998,373,.490,.352,.747,30.7,15.3,5.5,2.0,10.2,.087,-1.4,0.9
3,3,PHI,Joel Embiid,University of Kansas,2,94,2698,2072,933,265,.478,.327,.774,28.7,22.0,9.9,2.8,8.1,.144,2.8,3.2
4,4,ORL,Aaron Gordon,University of Arizona,4,263,6867,3003,1538,447,.451,.309,.698,26.1,11.4,5.8,1.7,13.0,.091,-0.1,3.3
5,5,UTA,Dante Exum,3,162,3280,919,289,352,.395,.306,.757,20.2,5.7,1.8,2.2,1.7,.025,-3.1,-0.9
6,6,BOS,Marcus Smart,Oklahoma State University,4,261,7488,2466,971,1016,.360,.293,.756,28.7,9.4,3.7,3.9,10.9,.070,0.2,4.2
7,7,LAL,Julius Randle,University of Kentucky,4,238,6622,3219,2118,618,.493,.257,.717,27.8,13.5,8.9,2.6,11.7,.085,-1.0,1.7
8,8,SAC,Nik Stauskas,University of Michigan,4,267,5647,1873,561,432,.386,.349,.801,21.1,7.0,2.1,1.6,2.7,.023,-3.2,-1.8
9,9,CHH,Noah Vonleh,Indiana University,4,231,3573,957,1089,99,.444,.297,.664,15.5,4.1,4.7,0.4,5.1,.068,-3.9,-1.7
10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,4,300,8854,3352,1271,1923,.457,.298,.619,29.5,11.2,4.2,6.4,11.8,.064,-0.3,3.9
