Type,Name,Stat-Value
Minutes Played,Jason Kidd, 2060
Field Goals,Shaquille O'Neal, 510
Field Goal Attempts,Allen Iverson, 1056
2-Pt Field Goals,Shaquille O'Neal, 510
2-Pt Field Goal Attempts,Kevin Garnett, 886
3-Pt Field Goals,Dee Brown, 135
3-Pt Field Goal Attempts,Dee Brown, 349
Field Goals Missed,Allen Iverson, 621
Free Throws,Karl Malone, 378
Free Throw Attempts,Shaquille O'Neal, 498
Offensive Rebounds,Danny Fortson, 210
Defensive Rebounds,Dikembe Mutombo, 418
Total Rebounds,Dikembe Mutombo, 610
Assists,Jason Kidd, 539
Steals,Kendall Gill, 134
Blocks,Alonzo Mourning, 180
Turnovers,Shareef Abdur-Rahim, 186
Personal Fouls,Danny Fortson, 212
Points,Shaquille O'Neal, 1289
Field Goal Pct,Shaquille O'Neal, .576
2-Pt Field Goal Pct,Shaquille O'Neal, .577
3-Pt Field Goal Pct,Dell Curry, .476
Free Throw Pct,Reggie Miller, .915
Minutes Per Game,Allen Iverson, 41.5
Points Per Game,Allen Iverson, 26.8
Rebounds Per Game,Chris Webber, 13.0
Assists Per Game,Jason Kidd, 10.8
Steals Per Game,Kendall Gill, 2.7
Blocks Per Game,Alonzo Mourning, 3.9
Player Efficiency Rating,Shaquille O'Neal, 30.6
True Shooting Pct,Chris Mullin, .616
Effective Field Goal Pct,Shaquille O'Neal, .576
Offensive Rebound Pct,Jerome Williams, 16.6
Defensive Rebound Pct,Danny Fortson, 31.3
Total Rebound Pct,Danny Fortson, 23.7
Assist Pct,John Stockton, 48.2
Steal Pct,Kendall Gill, 4.4
Block Pct,Shawn Bradley, 8.9
Turnover Pct,Sam Mitchell, 5.4
Usage Pct,Allen Iverson, 32.6
Offensive Rating,Jerome Williams, 119.4
Defensive Rating,David Robinson, 87.9
Offensive Win Shares,Shaquille O'Neal, 7.2
Defensive Win Shares,Tim Duncan, 4.7
Win Shares,Karl Malone, 9.6
Win Shares Per 48 Minutes,David Robinson, .261
Box Plus/Minus,David Robinson, 7.4
Offensive Box Plus/Minus,Gary Payton, 6.3
Defensive Box Plus/Minus,David Robinson, 5.3
Value Over Replacement Player,Jason Kidd, 4.1
