Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,University of Nevada, Las Vegas,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-5.6,-1.7
2,2,ORL,Victor Oladipo,Indiana University,5,366,12213,6353,1657,1403,.445,.353,.800,33.4,17.4,4.5,3.8,21.9,.086,1.0,9.1
3,3,WAS,Otto Porter,Georgetown University,5,343,9064,3603,1675,473,.487,.404,.789,26.4,10.5,4.9,1.4,25.8,.137,2.2,9.7
4,4,CHA,Cody Zeller,Indiana University,5,312,7029,2472,1752,393,.504,.250,.732,22.5,7.9,5.6,1.3,20.2,.138,0.6,4.6
5,5,PHO,Alex Len,University of Maryland,5,335,6656,2421,2175,259,.485,.240,.707,19.9,7.2,6.5,0.8,12.4,.089,-1.8,0.4
6,6,NOH,Nerlens Noel,University of Kentucky,4,223,5795,2067,1615,320,.512,.250,.624,26.0,9.3,7.2,1.4,12.3,.102,1.2,4.7
7,7,SAC,Ben McLemore,University of Kansas,5,349,8567,3164,892,403,.417,.351,.785,24.5,9.1,2.6,1.2,4.5,.025,-2.7,-1.6
8,8,DET,Kentavious Caldwell-Pope,University of Georgia,5,388,11946,4657,1328,657,.409,.345,.786,30.8,12.0,3.4,1.7,19.8,.080,0.2,6.5
9,9,MIN,Trey Burke,University of Michigan,5,303,7404,3293,642,1142,.404,.339,.791,24.4,10.9,2.1,3.8,8.3,.054,-2.2,-0.3
10,10,POR,C.J. McCollum,Lehigh University,5,341,9948,5860,1008,989,.454,.408,.842,29.2,17.2,3.0,2.9,22.2,.107,0.3,5.7
