Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,63,19,.768,114.8,108.1,6.47
Philadelphia 76ers,58,24,.707,112.9,108.8,4.17
New Jersey Nets,42,40,.512,109.5,109.2,0.64
Washington Bullets,40,42,.488,105.5,105.8,0.15
New York Knicks,24,58,.293,105.2,109.8,-4.09

Milwaukee Bucks,59,23,.720,110.9,104.0,6.69
Detroit Pistons,46,36,.561,116.0,113.5,2.73
Chicago Bulls,38,44,.463,108.7,109.6,-0.50
Cleveland Cavaliers,36,46,.439,108.6,111.3,-2.27
Atlanta Hawks,34,48,.415,106.6,108.1,-1.14
Indiana Pacers,22,60,.268,108.3,114.5,-5.46
