Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Orlando Magic,57,25,.695,110.9,103.8,6.44
New York Knicks,55,27,.671,98.2,95.1,2.78
Boston Celtics,35,47,.427,102.8,104.7,-1.92
Miami Heat,32,50,.390,101.1,102.8,-1.85
New Jersey Nets,30,52,.366,98.1,101.2,-3.28
Philadelphia 76ers,24,58,.293,95.4,100.4,-5.06
Washington Bullets,21,61,.256,100.5,106.1,-5.56

Indiana Pacers,52,30,.634,99.2,95.5,3.35
Charlotte Hornets,50,32,.610,100.6,97.3,2.87
Chicago Bulls,47,35,.573,101.5,96.7,4.32
Cleveland Cavaliers,43,39,.524,90.5,89.8,0.55
Atlanta Hawks,42,40,.512,96.6,95.3,1.06
Milwaukee Bucks,34,48,.415,99.3,103.7,-4.30
Detroit Pistons,28,54,.341,98.2,105.5,-7.08
