Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Oklahoma City Thunder,55,27,.671,104.8,101.0,3.81
Denver Nuggets,50,32,.610,107.5,102.7,4.81
Portland Trail Blazers,48,34,.585,96.3,94.8,1.85
Utah Jazz,39,43,.476,99.4,101.3,-1.44
Minnesota Timberwolves,17,65,.207,101.1,107.7,-5.97

Los Angeles Lakers,57,25,.695,101.5,95.4,6.01
Phoenix Suns,40,42,.488,105.0,105.9,-0.46
Golden State Warriors,36,46,.439,103.4,105.7,-2.00
Los Angeles Clippers,32,50,.390,98.6,101.8,-2.71
Sacramento Kings,24,58,.293,99.4,104.7,-4.80

San Antonio Spurs,61,21,.744,103.7,98.0,5.86
Dallas Mavericks,57,25,.695,100.2,96.0,4.41
New Orleans Hornets,46,36,.561,94.9,94.0,1.28
Memphis Grizzlies,46,36,.561,99.9,97.6,2.55
Houston Rockets,43,39,.524,105.9,103.7,2.37
