Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Miami Heat,52,30,.634,94.4,91.3,2.75
New York Knicks,50,32,.610,92.1,90.7,1.30
Philadelphia 76ers,49,33,.598,94.8,93.4,1.02
Orlando Magic,41,41,.500,100.1,99.4,0.43
Boston Celtics,35,47,.427,99.3,100.1,-1.00
New Jersey Nets,31,51,.378,98.0,99.0,-1.18
Washington Wizards,29,53,.354,96.6,99.9,-3.47

Indiana Pacers,56,26,.683,101.3,96.7,4.15
Charlotte Hornets,49,33,.598,98.4,95.8,2.33
Toronto Raptors,45,37,.549,97.2,97.3,-0.46
Detroit Pistons,42,40,.512,103.5,102.0,1.13
Milwaukee Bucks,42,40,.512,101.2,101.0,-0.06
Cleveland Cavaliers,32,50,.390,97.0,100.5,-3.64
Atlanta Hawks,28,54,.341,94.3,99.7,-5.41
Chicago Bulls,17,65,.207,84.8,94.2,-9.23
