Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Bob Lanier,St. Bonaventure University,14,959,32103,19248,9698,3007,.514,.154,.767,33.5,20.1,10.1,3.1,117.1,.175,5.0,41.9
2,2,SDR,Rudy Tomjanovich,University of Michigan,11,768,25714,13383,6198,1573,.501,.262,.784,33.5,17.4,8.1,2.0,70.4,.131,0.7,12.8
3,3,ATL,Pete Maravich,Louisiana State University,10,658,24316,15948,2747,3563,.441,.667,.820,37.0,24.2,4.2,5.4,46.7,.092,0.8,11.4
4,4,BOS,Dave Cowens,Florida State University,11,766,29565,13516,10444,2910,.460,.071,.783,38.6,17.6,13.6,3.8,86.3,.140,3.2,26.2
5,5,CIN,Sam Lacey,New Mexico State University,13,1002,31873,10303,9687,3754,.441,.188,.738,31.8,10.3,9.7,3.7,50.9,.077,3.0,29.7
6,6,SEA,Jim Ard,University of Cincinnati,4,218,2666,771,820,149,.361,,.695,12.2,3.5,3.8,0.7,2.0,.036,-4.9,-2.0
7,7,CLE,John Johnson,University of Iowa,12,869,25681,11200,4778,3285,.446,.000,.779,29.6,12.9,5.5,3.8,37.1,.069,-0.6,6.4
8,8,POR,Geoff Petrie,Princeton University,6,446,16787,9732,1271,2057,.455,,.805,37.6,21.8,2.8,4.6,26.1,.075,-1.8,0.3
9,9,BAL,George Johnson,Stephen F. Austin State University,3,69,744,190,220,22,.442,,.431,10.8,2.8,3.2,0.3,0.6,.036,-4.6,-0.2
10,10,PHO,Greg Howard,University of New Mexico,2,92,852,312,227,53,.388,,.697,9.3,3.4,2.5,0.6,0.6,.034,,
