Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAL,Magic Johnson,Michigan State University,13,906,33245,17707,6559,10141,.520,.303,.848,36.7,19.5,7.2,11.2,155.8,.225,7.2,77.4
2,2,CHI,Dave Greenwood,University of California, Los Angeles,12,823,23370,8428,6537,1614,.477,.138,.765,28.4,10.2,7.9,2.0,46.4,.095,0.2,13.1
3,3,NYK,Bill Cartwright,University of San Francisco,15,963,27491,12713,6106,1390,.525,.000,.771,28.5,13.2,6.3,1.4,72.8,.127,-0.5,10.7
4,4,DET,Greg Kelser,Michigan State University,6,305,6032,2961,1402,411,.486,.167,.686,19.8,9.7,4.6,1.3,8.6,.069,-0.8,1.9
5,5,MIL,Sidney Moncrief,University of Arkansas,11,767,23150,11931,3575,2793,.502,.284,.831,30.2,15.6,4.7,3.6,90.3,.187,3.8,33.9
6,6,SEA,James Bailey,Rutgers University,9,595,11625,5246,2988,488,.484,.077,.703,19.5,8.8,5.0,0.8,16.3,.067,-2.3,-0.8
7,7,SEA,Vinnie Johnson,Baylor University,13,984,24308,11825,3109,3212,.464,.254,.740,24.7,12.0,3.2,3.3,50.8,.100,0.5,15.2
8,8,NJN,Calvin Natt,University of Louisiana at Monroe,11,599,18818,10291,4070,1306,.528,.219,.768,31.4,17.2,6.8,2.2,57.2,.146,1.2,15.1
9,9,NYK,Larry Demic,University of Arizona,3,206,3192,976,805,106,.459,.000,.580,15.5,4.7,3.9,0.5,1.4,.022,-4.6,-2.1
10,10,DET,Roy Hamilton,University of California, Los Angeles,2,73,1121,336,110,192,.400,.000,.684,15.4,4.6,1.5,2.6,-0.4,-.017,-5.8,-1.1
