Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,67,15,.817,114.1,104.7,9.06
Philadelphia 76ers,54,28,.659,110.4,108.0,2.46
Washington Bullets,39,43,.476,103.0,104.8,-1.28
New Jersey Nets,39,43,.476,109.1,111.1,-1.39
New York Knicks,23,59,.280,98.7,104.3,-4.82

Milwaukee Bucks,57,25,.695,114.5,105.5,8.69
Atlanta Hawks,50,32,.610,108.6,106.2,2.59
Detroit Pistons,46,36,.561,114.2,113.0,1.44
Chicago Bulls,30,52,.366,109.3,113.1,-3.12
Cleveland Cavaliers,29,53,.354,107.8,110.6,-2.19
Indiana Pacers,26,56,.317,103.9,107.2,-2.66
