Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,63,19,.768,112.0,105.6,6.35
Philadelphia 76ers,58,24,.707,111.2,105.5,5.74
New Jersey Nets,44,38,.537,106.7,106.0,0.87
Washington Bullets,43,39,.524,103.5,102.6,1.06
New York Knicks,33,49,.402,106.2,108.9,-2.15

Milwaukee Bucks,55,27,.671,108.4,102.9,5.38
Atlanta Hawks,42,40,.512,101.0,100.5,0.81
Detroit Pistons,39,43,.476,111.1,112.0,-0.63
Indiana Pacers,35,47,.427,102.2,104.0,-1.49
Chicago Bulls,34,48,.415,106.6,108.6,-1.57
Cleveland Cavaliers,15,67,.183,103.2,111.7,-7.77
