Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Toronto Raptors,47,35,.573,99.5,98.5,0.61
New Jersey Nets,41,41,.500,97.6,98.3,-1.00
Philadelphia 76ers,35,47,.427,94.9,98.0,-3.26
New York Knicks,33,49,.402,97.5,100.3,-3.06
Boston Celtics,24,58,.293,95.8,99.2,-3.70

Detroit Pistons,53,29,.646,96.0,91.8,3.69
Cleveland Cavaliers,50,32,.610,96.8,92.9,3.33
Chicago Bulls,49,33,.598,98.8,93.8,4.52
Indiana Pacers,35,47,.427,95.6,98.0,-2.62
Milwaukee Bucks,28,54,.341,99.7,104.0,-4.43

Miami Heat,44,38,.537,94.6,95.5,-1.21
Washington Wizards,41,41,.500,104.3,104.9,-0.80
Orlando Magic,40,42,.488,94.8,94.0,0.35
Charlotte Bobcats,33,49,.402,96.9,100.6,-3.97
Atlanta Hawks,30,52,.366,93.7,98.4,-4.86
