Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Allen Iverson,Georgetown University,14,914,37584,24368,3394,5624,.425,.313,.780,41.1,26.7,3.7,6.2,99.0,.126,2.7,44.1
2,2,TOR,Marcus Camby,University of Massachusetts Amherst,17,973,28684,9262,9513,1837,.466,.205,.670,29.5,9.5,9.8,1.9,81.6,.137,2.9,35.6
3,3,VAN,Shareef Abdur-Rahim,University of California,12,830,28882,15028,6239,2109,.472,.297,.810,34.8,18.1,7.5,2.5,71.2,.118,0.9,21.1
4,4,MIL,Stephon Marbury,Georgia Institute of Technology,13,846,31891,16297,2516,6471,.433,.325,.784,37.7,19.3,3.0,7.6,77.5,.117,1.2,25.6
5,5,MIN,Ray Allen,University of Connecticut,18,1300,46344,24505,5272,4361,.452,.400,.894,35.6,18.9,4.1,3.4,145.1,.150,3.0,58.1
6,6,BOS,Antoine Walker,University of Kentucky,12,893,31531,15647,6891,3170,.414,.325,.633,35.3,17.5,7.7,3.5,38.1,.058,0.8,21.9
7,7,LAC,Lorenzen Wright,University of Memphis,13,778,18535,6191,4943,622,.459,.069,.645,23.8,8.0,6.4,0.8,30.5,.079,-2.0,0.0
8,8,NJN,Kerry Kittles,Villanova University,8,507,16929,7165,1983,1295,.439,.378,.780,33.4,14.1,3.9,2.6,44.8,.127,1.9,16.9
9,9,DAL,Samaki Walker,University of Louisville,10,445,7612,2376,2089,252,.462,.111,.630,17.1,5.3,4.7,0.6,14.2,.089,-3.0,-1.8
10,10,IND,Erick Dampier,Mississippi State University,16,987,24003,7309,7005,817,.498,.125,.626,24.3,7.4,7.1,0.8,52.7,.105,0.2,13.1
