Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,56,26,.683,106.3,102.8,3.58
Utah Jazz,55,27,.671,106.8,102.0,4.82
Dallas Mavericks,47,35,.573,102.2,102.2,0.42
Denver Nuggets,43,39,.524,114.6,113.2,1.56
Houston Rockets,41,41,.500,106.7,105.3,1.71
Minnesota Timberwolves,22,60,.268,95.2,99.4,-3.60
Charlotte Hornets,19,63,.232,100.4,108.2,-7.00

Los Angeles Lakers,63,19,.768,110.7,103.9,6.74
Portland Trail Blazers,59,23,.720,114.2,107.9,6.48
Phoenix Suns,54,28,.659,114.9,107.8,7.09
Seattle SuperSonics,41,41,.500,106.9,105.9,1.40
Golden State Warriors,37,45,.451,116.3,119.4,-2.55
Los Angeles Clippers,30,52,.366,103.8,107.2,-2.80
Sacramento Kings,23,59,.280,101.7,106.8,-4.41
