Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,48,34,.585,113.1,110.8,1.79
Denver Nuggets,46,36,.561,126.5,126.0,0.13
Houston Rockets,46,36,.561,105.9,105.9,-0.39
Kansas City Kings,30,52,.366,107.1,110.2,-3.25
Dallas Mavericks,28,54,.341,104.6,109.0,-4.48
Utah Jazz,25,57,.305,110.9,116.6,-5.63

Los Angeles Lakers,57,25,.695,114.6,109.8,4.37
Seattle SuperSonics,52,30,.634,107.3,103.1,3.69
Phoenix Suns,46,36,.561,106.2,102.7,3.05
Golden State Warriors,45,37,.549,110.9,109.8,0.80
Portland Trail Blazers,42,40,.512,109.8,109.2,0.39
San Diego Clippers,17,65,.207,108.5,115.9,-7.05
