Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New York Knicks,60,22,.732,101.6,95.4,5.87
Boston Celtics,48,34,.585,103.7,102.8,0.93
New Jersey Nets,43,39,.524,102.8,101.6,1.20
Orlando Magic,41,41,.500,105.5,104.2,1.35
Miami Heat,36,46,.439,103.6,104.7,-0.93
Philadelphia 76ers,26,56,.317,104.3,110.1,-5.25
Washington Bullets,22,60,.268,101.9,108.9,-6.49

Chicago Bulls,57,25,.695,105.2,98.9,6.19
Cleveland Cavaliers,54,28,.659,107.7,101.3,6.30
Charlotte Hornets,44,38,.537,110.1,110.4,-0.02
Atlanta Hawks,43,39,.524,107.5,108.4,-0.67
Indiana Pacers,41,41,.500,107.8,106.1,1.77
Detroit Pistons,40,42,.488,100.6,102.0,-1.10
Milwaukee Bucks,28,54,.341,102.3,106.1,-3.26
