Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,SAC,Pervis Ellison,University of Louisville,11,474,11593,4494,3170,691,.510,.050,.689,24.5,9.5,6.7,1.5,21.8,.090,0.5,7.4
2,2,LAC,Danny Ferry,Duke University,13,917,18133,6439,2550,1185,.446,.393,.840,19.8,7.0,2.8,1.3,34.8,.092,-0.9,5.0
3,3,SAS,Sean Elliott,University of Arizona,12,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.6,16.1
4,4,MIA,Glen Rice,University of Michigan,15,1000,34985,18336,4387,2097,.456,.400,.846,35.0,18.3,4.4,2.1,88.7,.122,0.5,22.1
5,5,CHH,J.R. Reid,University of North Carolina,11,672,15370,5680,3381,639,.472,.135,.716,22.9,8.5,5.0,1.0,22.5,.070,-2.0,-0.2
6,6,CHI,Stacey King,University of Oklahoma,8,438,7406,2819,1460,387,.478,.235,.707,16.9,6.4,3.3,0.9,10.9,.071,-3.0,-1.9
7,7,IND,George McCloud,Florida State University,12,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.7,5.6
8,8,DAL,Randy White,Louisiana Tech University,5,281,5382,2083,1366,175,.401,.193,.707,19.2,7.4,4.9,0.6,1.9,.017,-4.4,-3.3
9,9,WSB,Tom Hammonds,Georgia Institute of Technology,12,687,10419,3617,2243,378,.480,.000,.691,15.2,5.3,3.3,0.6,14.7,.068,-4.3,-6.0
10,10,MIN,Pooh Richardson,University of California, Los Angeles,10,639,19399,7083,1807,4180,.444,.329,.652,30.4,11.1,2.8,6.5,26.7,.066,-0.9,5.5
