Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Denver Nuggets,54,28,.659,104.3,100.9,3.13
Portland Trail Blazers,54,28,.659,99.4,94.1,5.00
Utah Jazz,48,34,.585,103.6,100.9,2.31
Minnesota Timberwolves,24,58,.293,97.8,102.7,-4.74
Oklahoma City Thunder,23,59,.280,97.0,103.1,-6.04

Los Angeles Lakers,65,17,.793,106.9,99.3,7.11
Phoenix Suns,46,36,.561,109.4,107.5,1.62
Golden State Warriors,29,53,.354,108.6,112.3,-3.80
Los Angeles Clippers,19,63,.232,95.1,103.9,-8.47
Sacramento Kings,17,65,.207,100.6,109.3,-8.60

San Antonio Spurs,54,28,.659,97.0,93.3,3.36
Houston Rockets,53,29,.646,98.4,94.4,3.73
Dallas Mavericks,50,32,.610,101.7,99.8,1.68
New Orleans Hornets,49,33,.598,95.8,94.3,1.41
Memphis Grizzlies,24,58,.293,93.9,99.3,-5.23
