Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New Jersey Nets,52,30,.634,96.2,92.0,3.67
Boston Celtics,49,33,.598,96.4,94.1,1.75
Orlando Magic,44,38,.537,100.5,98.9,1.25
Philadelphia 76ers,43,39,.524,91.0,89.4,1.27
Washington Wizards,37,45,.451,92.8,94.2,-1.58
Miami Heat,36,46,.439,87.2,88.7,-1.84
New York Knicks,30,52,.366,91.6,95.6,-4.15

Detroit Pistons,50,32,.610,94.3,92.2,1.69
Charlotte Hornets,44,38,.537,93.9,92.9,0.57
Toronto Raptors,42,40,.512,91.4,91.8,-0.71
Indiana Pacers,42,40,.512,96.8,96.5,-0.07
Milwaukee Bucks,41,41,.500,97.5,97.7,-0.62
Atlanta Hawks,33,49,.402,94.0,98.3,-4.41
Cleveland Cavaliers,29,53,.354,95.3,98.6,-3.52
Chicago Bulls,21,61,.256,89.5,98.0,-8.52
