Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Austin Carr,University of Notre Dame,10,682,19660,10473,1990,1878,.449,.154,.804,28.8,15.4,2.9,2.8,32.9,.080,-1.0,4.0
2,2,POR,Sidney Wicks,University of California, Los Angeles,10,760,25762,12803,6620,2437,.459,.000,.685,33.9,16.8,8.7,3.2,42.4,.079,0.6,12.9
3,3,BUF,Elmore Smith,Kentucky State University,8,562,17879,7541,5962,808,.482,,.579,31.8,13.4,10.6,1.4,34.7,.093,0.3,7.0
4,4,CIN,Ken Durrett,La Salle University,4,120,1205,484,233,54,.434,,.637,10.0,4.0,1.9,0.5,0.6,.025,-5.7,-0.9
5,5,ATL,George Trapp,California State University, Long Beach,6,379,6863,3353,1466,375,.444,,.752,18.1,8.8,3.9,1.0,8.4,.059,-3.8,-1.9
6,6,SEA,Fred Brown,University of Iowa,13,963,24422,14018,2637,3160,.478,.373,.858,25.4,14.6,2.7,3.3,63.2,.124,1.0,16.6
7,7,HOU,Cliff Meely,University of Colorado,5,318,6329,2658,1703,398,.417,,.675,19.9,8.4,5.4,1.3,4.6,.035,-3.7,-1.2
8,8,GSW,Darnell Hillman,San Jose State University,4,287,6594,2471,1881,406,.466,,.592,23.0,8.6,6.6,1.4,9.9,.072,-0.8,2.1
9,9,BAL,Stan Love,University of Oregon,3,227,3451,1550,905,172,.440,,.751,15.2,6.8,4.0,0.8,5.5,.076,-3.7,-0.5
10,10,BOS,Clarence Glover,Western Kentucky University,1,25,119,65,46,4,.455,,.469,4.8,2.6,1.8,0.2,0.3,.103,,
