Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,39,27,.591,91.8,89.3,2.26
New York Knicks,36,30,.545,97.8,94.7,2.39
Philadelphia 76ers,35,31,.530,93.6,89.4,3.59
Toronto Raptors,23,43,.348,90.7,94.0,-3.67
New Jersey Nets,22,44,.333,93.1,99.1,-6.37

Chicago Bulls,50,16,.758,96.3,88.2,7.43
Indiana Pacers,42,24,.636,97.7,94.4,2.60
Milwaukee Bucks,31,35,.470,99.0,98.7,-0.23
Detroit Pistons,25,41,.379,90.9,95.7,-5.19
Cleveland Cavaliers,21,45,.318,93.0,100.2,-7.34

Miami Heat,46,20,.697,98.5,92.5,5.72
Atlanta Hawks,40,26,.606,96.6,93.2,2.67
Orlando Magic,37,29,.561,94.2,93.4,0.46
Washington Wizards,20,46,.303,93.6,98.4,-5.14
Charlotte Bobcats,7,59,.106,87.0,100.9,-13.96
