Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,57,25,.695,113.6,107.7,6.15
Washington Bullets,38,44,.463,105.5,106.3,-0.16
New York Knicks,38,44,.463,105.5,106.0,0.14
Philadelphia 76ers,36,46,.439,105.7,107.1,-0.79
New Jersey Nets,19,63,.232,100.4,108.5,-6.98

Detroit Pistons,54,28,.659,109.2,104.1,5.46
Chicago Bulls,50,32,.610,105.0,101.6,3.76
Atlanta Hawks,50,32,.610,107.9,104.3,4.02
Milwaukee Bucks,42,40,.512,106.1,105.5,1.21
Cleveland Cavaliers,42,40,.512,104.5,103.7,1.28
Indiana Pacers,38,44,.463,104.6,105.4,-0.18
