Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Oklahoma City Thunder,60,22,.732,105.7,96.5,9.15
Denver Nuggets,57,25,.695,106.1,101.1,5.37
Utah Jazz,43,39,.524,98.0,98.1,0.30
Portland Trail Blazers,33,49,.402,97.5,100.7,-2.53
Minnesota Timberwolves,31,51,.378,95.7,98.1,-1.83

Los Angeles Clippers,56,26,.683,101.1,94.6,6.43
Golden State Warriors,47,35,.573,101.2,100.3,1.32
Los Angeles Lakers,45,37,.549,102.2,101.0,1.48
Sacramento Kings,28,54,.341,100.2,105.1,-4.26
Phoenix Suns,25,57,.305,95.2,101.6,-5.75

San Antonio Spurs,58,24,.707,103.0,96.6,6.67
Memphis Grizzlies,56,26,.683,93.4,89.3,4.32
Houston Rockets,45,37,.549,106.0,102.5,3.69
Dallas Mavericks,41,41,.500,101.1,101.7,-0.24
New Orleans Hornets,27,55,.329,94.1,97.9,-3.12
