Type,Name,Stat-Value
Minutes Played,Chris Mullin, 3315
Field Goals,Michael Jordan, 990
Field Goal Attempts,Michael Jordan, 1837
2-Pt Field Goals,Michael Jordan, 961
2-Pt Field Goal Attempts,Michael Jordan, 1744
3-Pt Field Goals,Vernon Maxwell, 172
3-Pt Field Goal Attempts,Michael Adams, 564
Field Goals Missed,Dominique Wilkins, 870
Free Throws,Karl Malone, 684
Free Throw Attempts,Karl Malone, 888
Offensive Rebounds,Dennis Rodman, 361
Defensive Rebounds,Karl Malone, 731
Total Rebounds,David Robinson, 1063
Assists,John Stockton, 1164
Steals,Alvin Robertson, 246
Blocks,David Robinson, 320
Turnovers,Magic Johnson, 314
Personal Fouls,Sam Mitchell, 338
Points,Michael Jordan, 2580
Field Goal Pct,Buck Williams, .602
2-Pt Field Goal Pct,Charles Barkley, .614
3-Pt Field Goal Pct,Jim Les, .461
Free Throw Pct,Reggie Miller, .918
Minutes Per Game,Chris Mullin, 40.4
Points Per Game,Michael Jordan, 31.5
Rebounds Per Game,David Robinson, 13.0
Assists Per Game,John Stockton, 14.2
Steals Per Game,Alvin Robertson, 3.0
Blocks Per Game,Hakeem Olajuwon, 3.9
Player Efficiency Rating,Michael Jordan, 31.6
True Shooting Pct,Reggie Miller, .649
Effective Field Goal Pct,Buck Williams, .602
Offensive Rebound Pct,Larry Smith, 16.8
Defensive Rebound Pct,Benoit Benjamin, 28.7
Total Rebound Pct,Dennis Rodman, 21.3
Assist Pct,John Stockton, 57.5
Steal Pct,Alvin Robertson, 4.7
Block Pct,Manute Bol, 9.6
Turnover Pct,Byron Scott, 7.1
Usage Pct,Bernard King, 34.4
Offensive Rating,Reggie Miller, 129.6
Defensive Rating,Hakeem Olajuwon, 93.4
Offensive Win Shares,Michael Jordan, 14.9
Defensive Win Shares,David Robinson, 7.6
Win Shares,Michael Jordan, 20.3
Win Shares Per 48 Minutes,Michael Jordan, .321
Box Plus/Minus,Michael Jordan, 10.8
Offensive Box Plus/Minus,Charles Barkley, 9.0
Defensive Box Plus/Minus,Hakeem Olajuwon, 5.9
Value Over Replacement Player,Michael Jordan, 9.8
