Type,Name,Stat-Value
Minutes Played,Kareem Abdul-Jabbar, 3379
Field Goals,Bob McAdoo, 934
Field Goal Attempts,Bob McAdoo, 1918
2-Pt Field Goals,Bob McAdoo, 934
2-Pt Field Goal Attempts,Bob McAdoo, 1918
Field Goals Missed,Bob McAdoo, 984
Free Throws,Bob McAdoo, 559
Free Throw Attempts,Bob McAdoo, 734
Offensive Rebounds,Paul Silas, 365
Defensive Rebounds,Kareem Abdul-Jabbar, 1111
Total Rebounds,Kareem Abdul-Jabbar, 1383
Assists,Slick Watts, 661
Steals,Slick Watts, 261
Blocks,Kareem Abdul-Jabbar, 338
Personal Fouls,Charlie Scott, 356
Points,Bob McAdoo, 2427
Field Goal Pct,Wes Unseld, .561
2-Pt Field Goal Pct,Wes Unseld, .561
Free Throw Pct,Rick Barry, .923
Minutes Per Game,Bob McAdoo, 42.7
Points Per Game,Bob McAdoo, 31.1
Rebounds Per Game,Kareem Abdul-Jabbar, 16.9
Assists Per Game,Slick Watts, 8.1
Steals Per Game,Slick Watts, 3.2
Blocks Per Game,Kareem Abdul-Jabbar, 4.1
Player Efficiency Rating,Kareem Abdul-Jabbar, 27.2
True Shooting Pct,John Shumate, .596
Effective Field Goal Pct,Wes Unseld, .561
Offensive Rebound Pct,Paul Silas, 13.4
Defensive Rebound Pct,Bill Walton, 32.4
Total Rebound Pct,Bill Walton, 20.6
Assist Pct,Slick Watts, 32.2
Steal Pct,Slick Watts, 4.2
Block Pct,George Johnson, 5.1
Defensive Rating,George Johnson, 89.8
Offensive Win Shares,Kareem Abdul-Jabbar, 9.8
Defensive Win Shares,Kareem Abdul-Jabbar, 7.2
Win Shares,Kareem Abdul-Jabbar, 17.0
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .242
Box Plus/Minus,Kareem Abdul-Jabbar, 10.2
Offensive Box Plus/Minus,John Drew, 7.1
Defensive Box Plus/Minus,Wes Unseld, 4.1
Value Over Replacement Player,Kareem Abdul-Jabbar, 10.5
