Type,Name,Stat-Value
Minutes Played,Gilbert Arenas, 3384
Field Goals,Kobe Bryant, 978
Field Goal Attempts,Kobe Bryant, 2173
2-Pt Field Goals,Kobe Bryant, 798
2-Pt Field Goal Attempts,Kobe Bryant, 1655
3-Pt Field Goals,Ray Allen, 269
3-Pt Field Goal Attempts,Ray Allen, 653
Field Goals Missed,Kobe Bryant, 1195
Free Throws,Kobe Bryant, 696
Free Throw Attempts,Allen Iverson, 829
Offensive Rebounds,Ben Wallace, 301
Defensive Rebounds,Kevin Garnett, 752
Total Rebounds,Dwight Howard, 1022
Assists,Steve Nash, 826
Steals,Chris Paul, 175
Blocks,Andrei Kirilenko, 220
Turnovers,Gilbert Arenas, 297
Personal Fouls,Al Harrington, 301
Points,Kobe Bryant, 2832
Field Goal Pct,Shaquille O'Neal, .600
2-Pt Field Goal Pct,Shaquille O'Neal, .600
3-Pt Field Goal Pct,Richard Hamilton, .458
Free Throw Pct,Steve Nash, .921
Minutes Per Game,Allen Iverson, 43.1
Points Per Game,Kobe Bryant, 35.4
Rebounds Per Game,Kevin Garnett, 12.7
Assists Per Game,Steve Nash, 10.5
Steals Per Game,Gerald Wallace, 2.5
Blocks Per Game,Marcus Camby, 3.3
Player Efficiency Rating,Dirk Nowitzki, 28.1
True Shooting Pct,Steve Nash, .632
Effective Field Goal Pct,Shaquille O'Neal, .600
Offensive Rebound Pct,Erick Dampier, 17.3
Defensive Rebound Pct,Marcus Camby, 33.3
Total Rebound Pct,Marcus Camby, 21.0
Assist Pct,Steve Nash, 44.4
Steal Pct,Gerald Wallace, 3.7
Block Pct,Marcus Camby, 7.5
Turnover Pct,James Jones, 5.2
Usage Pct,Kobe Bryant, 38.7
Offensive Rating,Chauncey Billups, 127.2
Defensive Rating,Tim Duncan, 94.4
Offensive Win Shares,Dirk Nowitzki, 13.5
Defensive Win Shares,Tim Duncan, 6.9
Win Shares,Dirk Nowitzki, 17.7
Win Shares Per 48 Minutes,Dirk Nowitzki, .275
Box Plus/Minus,LeBron James, 9.3
Offensive Box Plus/Minus,LeBron James, 7.9
Defensive Box Plus/Minus,Ben Wallace, 6.4
Value Over Replacement Player,LeBron James, 9.5
