Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bill Russell,30,BOS,53.0,99,0.535,78,44.4,14.1,24.1,5.3,,.438,,.573,16.9,.234
2,Oscar Robertson,26,CIN,21.0,99,0.212,75,45.6,30.4,9.0,11.5,,.480,,.839,17.0,.238
3,Jerry West,26,LAL,20.0,99,0.202,74,41.4,31.0,6.0,4.9,,.497,,.821,16.7,.261
4,Sam Jones,31,BOS,4.0,99,0.040,80,36.1,25.9,5.1,2.8,,.452,,.820,12.8,.213
5,Wilt Chamberlain,28,TOT,1.0,99,0.010,73,45.2,34.7,22.9,3.4,,.510,,.464,15.1,.219
